Question		A	B	C	D	E
Дараах багажийн хувааруйн үнэ болон хэмжих хязгаарыг олно уу. (2 оноо)	1.5 mA, 4.0 mA	1.0 mA, 4.0 mA	0 mA, 4.0 mA	2.0 mA, 1.5mA	1.0 mA, 2.0 mA
Биеийн температурыг нэмэгдүүлэхэд аль хэмжигдэхүүн өөрчлөгдөх вэ? (1 оноо)	молекулын тоо	масс	эзлэхүүн	бодисын тоо хэмжээ	хүндийн хүч
Аль нь биеийн шугаман тэлэлтийн хуулийг илэрхийлэх вэ? (2 оноо)	L = L₀/α	L = L₀αt⁰	L = L₀/(1+αt⁰)	L = L₀(1 + αt°)	L = L₀/αt⁰
Хэмжигч багажуудаас термометрийн заалтыг уншина уу. (2 оноо)	10	20	25	15	35
Биеийн температурыг 1°C -ээр өөрчлөхөд шаардагдах дулааны тоо хэмжээг илэрхийлдэг физик хэмжигдэхүүн аль нь вэ? (1 оноо)	Үүршихын хувийн дулаан	Хайлахын хувийн дулаан	Дулаан багтаамж	Шаталтын хувийн дулаан	Дулааны тоо хэмжээ
t₁⁰ = 20⁰C температуртай A шингэнийг t₂⁰ = 80⁰C температуртай B шингэнтэй хольжээ. Энэ систем гаднаас дулаан авааүй, гадагш дулаан алдааүй бөгөөд 5 минутын дараа тэнцвэр тогтож температур нь θ = 48⁰C болжээ. Хоёр шингэний дулаан багтаамжийн харьцааг олно уу. (2 оноо)	C₁/C₂ = 4	C₁/C₂ = 7/6	C₁/C₂ = 1/4	C₁/C₂ = 8/7	C₁/C₂ = 8/5
Графикийн CD хэсэгт ямар процесс явагдаж байна вэ? (1 оноо)	Үүрших	Хатуу төлөвт халах	Царцах	Шингэн төлөвт хөрөх	Хайлах
Уг бодисын хайлахын хувийн дулааныг олно уу. (2 оноо)	24 кЖ/кг	20 кЖ/кг	45 кЖ/кг	86 кЖ/кг	130 кЖ/кг
Идеал хийн температурыг тогтмол байлгаж, даралтыг 2 дахин ихэсгэвэл эзлэхүүн хэрхэн өөрчлөгдөх вэ? (2 оноо)	4 дахин ихсэнэ	4 дахин багасна	2 дахин багасна	2 дахин ихсэнэ	өөрчлөгдөхгүй
Идеал хийд гаднаас 600 Ж дулаан өгснөөр хийн дотоод энерги 100 Ж-аар нэмэгдсэн бол хий ямар ажил хийсэн бэ? (1 оноо)	700 Ж	500 Ж	600 Ж	100 Ж	350 Ж
Тогтмол даралтанд байгаа хийн эзлэхүүн V₁ = 2 л байв. Хий тэлэхдээ A = 2000 Ж ажил хийж, эзлэхүүн нь V₂ = 6 л болов. Хий ямар даралтанд байсан бэ? (2 оноо)	2.5 · 10⁵ Па	10⁶ Па	3.3 · 10⁵ Па	5 · 10⁵ Па	1.3 · 10⁵ Па
Цахилгаан хэлхээнийдараах элементүүдийн аль нь фоторезистор вэ? (1оноо)	A	4	5	2	1	3
Зурагт үзүүлсэн хүчдэл хуваагч хэлхээ R₁ = 10 Ω, R₂ = 20 Ω эсэргүүцэл бүхий хоёр резистороос тогтоно. Оролтын хүчдэл Vор = 12 В бол гаралтын хүчдэл Vгаралт-ийг олно уу. (2 оноо)	8 В	12 В	4 В	30 В	0.6 В
Зурагт өгөгдсөн үнэний хүснэгт аль логик элементэд харгалзах вэ? (1 оноо)	NOT	OR	AND	XOR	NOT ба XOR
Дараах логик хэлхээний үнэний хүснэгт аль нь вэ? (2 оноо)	Үнэний хүснэгт A	Үнэний хүснэгт B	Үнэний хүснэгт C	Үнэний хүснэгт D	Үнэний хүснэгт E
Соронзон оронд байгаа гүйдэлтэй дамжуулагчид үйлчлэх Амперийн хүчний чиглэлийг зөв сонгоно уу. Тогтмол соронзонгийн хувьд соронзон орны индукцийн векторын чиглэл N туйлаас гарч S туйл руу орсон байдаг. (1 оноо)	2	5	3	4	1
Соронзон оронд перпендикуляр чигт хөдөлж байгаа цэнэгт бөөмд орны зүгээс үйлчлэх хүчийг олно уу. Соронзон орны индукц B = 2 Тл, бөөмийн цэнэг q = 9 · 10⁻⁶ Кл, бөөмийн хурд v = 400 м/с. (2 оноо)	2.2 · 10⁷ Н	7.2 · 10⁻³ Н	4.5 · 10⁻² Н	8.9 · 10⁷ Н	1.12 · 10⁻² Н
Цахилгаан орны тухай дараах өгүүлэмжүүдээс аль нь БУРYY вэ? (1 оноо)	Цахилгаан орны хүчний шугамууд зөрөг цэнэгээс гарч сөрөг цэнэг дээр төгсөнө.	Эөрөг цэнэгт үйлчлэх хүчийг цэнэгийн тоо хэмжээнд хувааахад хүчлэг нь гарна.	Ижил потенциалтай цэгүүдийн хооронд цэнэгийг шилжүүлэхэд тодорхой ажил хийнэ.	Хүчний шугам нь орныг үүсгэх цэнэгтэй биеийн гадаргад ямагт перпендикуляр байна.	Цэнэглэгдсэн бөмбөлөг дамжуулагч доторх цахилгаан орны хүчлэг тэг байна.
Зурагт өгөгдсөн A цэг дээрх потенциалыг олно уу. Цэнэгүүдээс A цэг хүртэлх зай 5 см байна. q₁ = -4 нКл, q₂ = 6 нКл, ε = 1, k = 9 · 10⁹ Нм²/Кл². (2 оноо)	360 B	1080 B	720 B	1800 B	108 B
Зурагт үзүүлсэн хэлхээнүүдийн ц.х.х нь ижилхэн ε ба дотоод эсэргүүцлийг тооцохгүй. Эүүн талын хэлхээний R эсэргүүцэл дээр ялгарах чадал P бол баруун талын хэлхээнд ялгарах чадлыг олно уу. (2 оноо)	P/3	3P	P/6	P	6P
Зурагт долгионы шилжилт - координатын хамаарлын график өгөгдөв. Долгион 24 м хурдтай тархаж байгаа бол графикийг ашиглан долгионы давтамжийг олно уу. (2 оноо)	9.6 Гц	19.2 Гц	26.7 Гц	60 Гц	30 Гц
Дуу үүсгэгч v хурдтайгаар ажиглагчаас холдоноо тодорхой давтамжтай дуу үүсгэсэн. Ажиглагчаас холдож байгаа дууны долгионы фронтыг зурагт харуулав. Долгион үүсгэгч хөдлөхөд ажиглагчийн сонсох дууны долгионы давтамж болон хурд аяж өөрчлөгдөх вэ? Ажиглагч хөдөлгөөнгүй байна. (2 оноо)	Давтамж багасна, долгионы хурд тогтмол байх болно.	Давтамж тогтмол байна, долгионы хурд ихсэнэ.	Давтамж ихсэнэ, долгионы хурд тогтмол байна.	Давтамж ихсэнэ, долгионы хурд багасна.	Давтамж багасна, долгионы хурд багасна.
Нэг орчноос нөгөө орчин руу дууны долгион нэвтрэх үед долгион тархах хурд 1.5 дахин багассан бол долгионы урт болон давтамж хэрхэн өөрчлөгдөх вэ? (2 оноо)	Долгионы урт 1.5 дахин багасна, давтамж 1.5 дахин ихэснэ.	Долгионы урт 1.5 дахин ихэснэ, давтамж өөрчлөгдөхгүй.	Долгионы урт 1.5 дахин багасна, давтамж өөрчлөгдөхгүй.	Долгионы урт 1.5 дахин багасна, давтамж 1.5 дахин багасна.	Долгионы урт өөрчлөгдөхгүй, давтамж 1.5 дахин багасна.
Нэг тал нь битүү хоолойны амсарт чанга яригчийг байрлуулахад хоолой дотор үүссэн зогсонги долгионыг зурагт үзүүлэв. Долгионы давтамж 340 Гц, агаарт дуу тархах хурд 340 м/с бол хоолойны уртыг олно уу. (2 оноо)	25 см	75 см	133 см	300 см	200 см
Гармоник хэлбэлзлийг судлахад аль загварыг ашиглах вэ? (1 оноо)	Хатуу биe	Материаллаг цэг	Математик дүүжин	Идеал хий	Цэгэн гэрэл үүсгэгч
Ханын цагны дүүжингийн үе T = 2 с бол тойрох давтамжийг олно уу. (2 оноо)	0.5 рад/с	12.56 рад/с	0.32 рад/с	3.14 рад/с	2 рад/с
Хэлбэлзэх биейин хурдаттал – шилжилтээс хамаарах график өгөгдөв. График ашиглан хэлбэлзлийн тойрох давтамжийг олно уу. (2 оноо)	√5 рад/с	√40 рад/с	√8 рад/с	√32 рад/с	√48 рад/с
Сурагч физикийн туршилтаар утсан дүүжингийн хэлбэлзлийг үүсгэв. Дүүжинг тогтмол давтамж, далайцтайгаар хэлбэлзүүлэв. Энэ үед ямар хэлбэлзэл хийсэн бэ? (1 оноо)	Гармоник ба албадмал хэлбэлзэл	Унтрах хэлбэлзэл	Чөлөөт хэлбэлзэл	Авто ба унтрах хэлбэлзэл	Гармоник ба автохэлбэлзэл
Биейн хувийн хэлбэлзлийн давтамж (ω0), гадны албадагч хүчний давтамж (ω)-ийн харьцаа ямар байх үед биед резонансын үзэгдэл ажиглагдах вэ? (2 оноо)	1/2ω0 = ω	ω0 > ω	ω0 < ω	ω0 = 1/2ω	ω0 = ω
Радио станц 50 МГц давтамжтай долгионыг цацна. Радио долгионы хурд 3 · 10⁸ м/с бол станцаас цацагдсан долгионы уртыг олно уу. (2 оноо)	0.17 м	150 м	16.6 м	6 м	88.3 м
Зураг хавтгай долгион нэг орчноос нөгөө орчинд тарж байгааг үзүүлэв. 1-р орчинд тарж байгаа долгионы хурд 24 см/с бол зураг дээрх өгөгдлүүдийг ашиглан 2-р орчинд тарж байгаа долгионы хурдыг олно уу. (2 оноо)	2 см/с	18 см/с	32 см/с	0.5 см/с	1.7 см/с
Шилэн призм дээр цагаан өнгийн гэрэл тусаад нэвтрэхдээ долоон өнгийн гэрэл болон задардаг бөгөөд үүнийг гэрлийн дисперсийн үзэгдэл гэж нэрлэдэг. 3-р цацраг ямар өнгийн гэрэл вэ? (1 оноо)	Улаан	Шар	Цэнхэр	Ягаан	Хөх
Тодорхой зузаантай шилэн ялтас дээр тусаан гэрэл нэвтрэн гарахдаа аль чиглэлд тархах вэ? (1 оноо)	1	4	2	3	5
Глицеринээс агаарт гэрэл нэвтрэх үед глицерины дотоод бүрэн ойлтын хязгаарын өнцөг 43° бол глицерины хугарлын илтгэгчийг олно уу. sin43° = 0.68, sin90° = 1. (2 оноо)	2.06	0.68	1.47	1.51	1.33
Бөмбөлөг толины муруйлтын радиус R = 20 см бол фокусын зай хэд вэ? (1 оноо)	2 см	5 см	4 см	10 см	20 см
Цэгэн гэрэл үүсгэгчээс a = 3 м зайд байрлах биейн сүүдэр дэлгэц дээр үүссэнийг зурагт үзүүлэв. Бие дэлгэцийн хоорондох зай b = 5 м, биеийн өндөр h = 3 м. Сүүдрийн өндөр ба биеийн өндрийн харьцааг олно уу. (2 оноо)	H/h = 5/3	H/h = 3/8	H/h = 8/3	H/h = 1	H/h = 2/3
