Question	А	В	С	D	E
Ургамлын үндэсний тууш огтлолын бүдүүвч зурагт 1 – 5 дугаараар үндэсний бүс, бүслүүрийг тэмдэглэжээ. Зураг дээрх бүс бүслүүрийн гүйцэтгэх үүргийг зөв харгалзуулсан хувилбарыг сонгоно уу.	1e, 2a, 3c, 4b, 5d	1c, 2b, 3a, 4e, 5d	1d, 2e, 3b, 4a, 5c	1b, 2a, 3e, 4c, 5d	1e, 2c, 3d, 4b, 5a
Дөрвөн төрлийн хүнсний бүтээгдэхүүнд агуулагдах витамин С, витамин D, иод, фосфорын хэмжээг графикаар харуулжээ. Графикийн өгөгдлийг ашиглан 1 – 4 дугаартай хүн тус бүр ямар хүнсний бүтээгдэхүүн хэрэглэвэл тохиромжтой болохыг сонгон, зөв тохируулсан хувилбарыг олно уу.	1b, 2c, 3d, 4a	1d, 2a, 3c, 4b	1a, 2b, 3d, 4c	1c, 2a, 3b, 4d	1a, 2d, 3c, 4b
Дисахаридын талаарх мэдээлэл агуулсан хүснэгтээс зөв харгалзуулсан хариултыг сонгоно уу.	III–a–2	II–c–1	I–c–2	I–b–3	III–b–2
Хоол боловсруулах замын эрхтнүүд болон тэдгээрийн энзим үүсэх бүтэц, ялгарах энзимийг зөв харгалзуулсан мөрийг сонгоно уу.	нойр булчирхай - β эс - трипсин	нарийн гэдэс - нарийн гэдэсний хөхлөг эс - реннин	элэг - цөс - лактаза	ходоод - ходоодны салст бүрхэвч - пепсин	амны хөндий - шүлсний булчирхай - сахараза
Фотосинтезийн эрчимд температурын нөлөөлөөг илэрхийлсэн графикийг ажиглаад тохирох хариултыг сонгоно уу.	Фотосинтезийн эрчимд температур нөлөөлөхгүй.	Температур 0 байх үед фотосинтезийн эрчим өснө.	Температур буурахад, фотосинтезийн эрчим нэмэгдэнэ.	Хэт өндөр температурт фотосинтезийн эрчим нэмэгдэнэ.	Оптимал температурт фотосинтезийн эрчим хамгийн өндөр.
Дараах бүдүүвчид сээр нуруутны хүрээний ямар ангийн төлөөлөгчдийн цусны эргэлтийн систем болон онцлогийг үзүүлснийг зөв тодорхойлсон хариултыг сонгоно уу.	Хоёр нутагтан - 1 ховдол, 2 тосгууртай, цусны давхар эргэлттэй	Загас - 1 ховдол, 1 тосгууртай, цусны давхар эргэлттэй	Хоёр нутагтан - 2 ховдол, 1 тосгууртай, цусны дан эргэлттэй	Загас - 2 ховдол, 1 тосгууртай, цусны дан эргэлттэй	Мөлхөгч - 2 ховдол, 1 тосгууртай, цусны давхар эргэлттэй
Дараах хүснэгтээс зүрхний титэм судасны өвчлөл үүсгэх эх үүсвэр, шалтгаан, сэргийлэх арга замыг зөв харгалзуулсан мөрийг сонгоно уу.	Хоол хүнс - Давс, амьтны гаралтай өөх тос, илүүдэл нүүрс усны хэрэглээ - Олон төрлийн хоол хүнс, ургамлын гаралтай тос хэрэглэх	Тамхи татах - Тамхинд агуулагдах никотин зэрэг хорт бодис - Биеийн жингээ тохиромжтой хэмжээнд байлгах, дасгал хийх	Хэт таргалт - Хөдөлгөөний дутагдал - Сэтгэлийн хямралаа хянаж, тайвшруулах арга олох	Сэтгэцийн хямрал - Хүчтэй, удаан хугацаагаар үргэлжлэх хямрал - Амьтны гаралтай өөх тосыг зүй зохистой хэмжээгээр хэрэглэх	Холестрин - Амьтны гаралтай өөх тос - Тамхи татахгүй байх, дам тамхидалтаас сэргийлэх
Тунгалгийн системийн үйл ажиллагаанд голлох үүрэгтэй оролцдог эдийн шингэний онцлог шинжид тохирох хувилбарыг сонгоно уу.	2, 3	1, 2	1, 3	1, 4	2, 4
Зурагт амьсгалын эрхтэн тогтолцооны нэгэн хэсгийг үзүүлжээ. B эсэд тохирох зөв хариултыг сонгоно уу.	II-b-1	II-a-2	I-c-3	III-b-1	III-c-3
Эсийн аэроб амьсгалаар тосны хүчил задарч буй урвалын тэгшитгэлийг ашиглаад амьсгалын коэффициент (RQ)-ыг тооцож олно уу?	0.6	0.1	1	0.7	0.9
Аэроб болон анаэроб амьсгалын шинж чанарыг венийн диаграммаар илэрхийлжээ. Тохирох зөв хариултыг сонгоно уу.	210 кЖ энерги чөлөөлөгдөнө	Хүчилтөрөгчийн оролцоотой явагдана	Хөрөнгө мөөг болон ургамалд этилийн спирт үүснэ	Сүүний хүчил үүснэ	Хүчилтөрөгчийн оролцоогүй явагдана
Дараах бүдүүвч зурагт 1 – 4 дугаараар тэмдэглэсэн үе шатуудыг үйл явцтай нь зөв харгалзуулсан хувилбарыг сонгоно уу.	1b, 2a, 3c, 4d	1c, 2b, 3d, 4a	1d, 2a, 3c, 4b	1d, 2c, 3a, 4b	1a, 2c, 3b, 4d
1 – 4 дугаараар тэмдэглэсэн бөөрний өвчнийг илрэх шинж тэмдэгтэй нь зөв харгалзуулсан хувилбарыг сонгоно уу.	1b, 2d, 3c, 4a	1a, 2b, 3c, 4d	1b, 2c, 3d, 4a	1c, 2d, 3a, 4b	1a, 2d, 3b, 4c
Бөөрний бүтцийн хэсэг болох нефроны бүдүүвчид 1 дугаараар тэмдэглэсэн Генлийн гогцоонд ямар үйл явц явагдах вэ?	Боуманы капсулд шүүгдэлт явагдахыг зохицуулна.	Ойрын тахир сувганцар руу шүүгдсийг дамжуулна.	Шүүгдэс дэх илүүдэл ус, эрдэс ионы эргэн шимэгдэлт явагдана.	Үүссэн шээсийг давсаг руу шилжүүлнэ.	Шүүгдэс дэх глюкоз, амин хүчлүүд эргэн шимэгдэнэ.
Мэдрэлийн импульс дамжих явцад оролцдог синапсын бүтцийг зурагт үзүүлжээ. “2” дугаартай бүтцийг зөв нэрлэсэн хариултыг сонгоно уу.	Синапсын завсар	Нейротрансмиттер агуулсан цэврүү	Синапсын өмнөх нейрон	Хүлээн авуур бүхий натрийн ионы суваг	Митохондри
Тироксин дааврын үүргийг тодорхойлно уу.	Т лимфоцитын боловсролтыг дэмжих	Гликоген, уураг, өөх тосны ялгарлыг дэмжих	Цусан дахь глюкозыг нэмэгдүүлэх, уургийн задралыг сэдээх	Өдөр тутмын хэмнэлийг зохицуулах	Бодисын солилцоог нэмэгдүүлэх
Зарим халдварт өвчнийг түүний үүсгэгч болон халдварлах замтай зөв харгалзуулсан хувилбарыг сонгоно уу.	I-a-3, II-c-2, III-b-1	I-b-2, II-c-3, III-a-1	I-c-1, II-a-2, III-b-3	I-a-2, II-c-3, III-b-1	I-a-1, II-c-2, III-b-3
Эмчилгээний явцад антибиотикийн тунг хэтрүүлэн хэрэглэвэл ямар сөрөг үр дагавар үүсэхийг дараах хувилбаруудаас сонгоно уу.	2, 4	1, 3	4, 5	3, 6	2, 3
Хүний дархлааны тогтолцоонд чухал үүрэгтэй В болон Т лимфоцит эсүүдийн талаар мэдээллүүд өгөгджээ. Эдгээр мэдээллээс Т лимфоцит эсэд тохирох хувилбаруудыг сонгоно уу.	1,3,5,7	2,4,6,8	2,4,5,8	1,3,6,7	1,4,6,8
Бэлгийн үржилд тохирох ойлголтуудыг сонгоно уу.	2,4,6	1,3,5	1,2,3	2,3,4	3,4,5
Меойз I хуваагдлын үе шатыг түүний үйл явц, бүдүүвч зурагтай нь зөв харгалзуулсан хувилбарыг сонгоно уу.	I-d-1, II–c–2, III–a–4, IV–b–3	I-c-1, II–d–3, III–a–4, IV–b–2	I-a-4, II–d–2, III–c–3, IV–b–1	I-c-4, II–a–2, III–d–3, IV–b–1	I-c-1, II–d–4, III–a–3, IV–b–2
Дараах хүснэгт дэх нэр томьёог тодорхойлолттой нь харгалзуулна уу.	1a 2c 3b	1c 2b 3a	1b 2c 3a	1a 2b 3c	1c 2a 3b
ДНХ-ийн давхар гинжний нэгэн хэсэг нийт 100 ширхэг нуклеотидээс тогтох бөгөөд түүний 20%-ийг цитозин эзэлдэг бол ДНХ-ийн гинжний энэ хэсэгт агуулагдах устөрөгчийн холбооны тоог олно уу.	50	130	120	100	200
Уургийн нийлэгжилтийн бүдүүвчийг үзүүлжээ. Бүдүүвчийг ажиглаад, уургийн нийлэгжилд оролцдог бүтцүүдийг нэр, үүрэгтэй нь зөв харгалзуулсан хувилбарыг сонгоно уу.	I–c–4, II–d–3, III–a–2, IV–b–1	I–c–2, II–d–3, III–a–4, IV–b–1	I–c–4, II–b–1, III–a–2, IV–d–3	I–c–2, II–d–3, III–b–4, IV–a–1	I–c–1, II–d–2, III–a–3, IV–b–4
Эсийн бөөмөнд явагдах транскрипцийн үйл явцын зургийг ажиглаад, 1 – 5 дугаартай хэсгээс ДНХ-ийн эх гинжнээс хуулбарлагдаж буй мРНХ-г сонгоно уу.	4	1	3	2	5
Байгаль дахь нүүрстөрөгчийн эргэлттэй холбоотой үйл явцуудыг тодорхойлолттой нь зөв харгалзуулна уу.	1d, 2a, 3c, 4b	1c, 2a, 3b, 4d	1c, 2a, 3d, 4b	1b, 2a, 3c, 4d	1a, 2b, 3c, 4d
Байгаль дахь ус, нүүрсхүчлийн хийн эргэлтийг схемээр үзүүлэв. 1 – 5 дугаараар тэмдэглэсэн хэсгүүдэд тохирох зөв мөрийг сонгоно уу.	Транспирац, Фотосинтез, Транспирац, Осмос, Амьсгал	Осмос, Амьсгал, Хур тунадас, Ууршилт, Фотосинтез	Хур тунадас, Фотосинтез, Осмос, Ууршилт, Амьсгал	Осмос, Фотосинтез, Хур тунадас, Транспирац, Амьсгал	Фотосинтез, Ууршилт, Амьсгал, Осмос, Хур тунадас
Популяцын насны бүтцийг тодорхойлдог ангилалд тарваганы зүйлээр жишээлэн харгалзуулсан зөв хувилбарыг сонгоно уу.	1c, 2d, 3b, 4a	1a, 2b, 3d, 4c	1b, 2c, 3d, 4a	1d, 2a, 3b, 4c	1d, 2b, 3a, 4c
Амьд системд, түүний дотор популяцид өөрийгөө зохицуулах механизмын тусламжтайгаар дотоод тогтвортой байдлаа хадгалахыг гэнэ.	Популяцын нягтшил	Хабитат	Амьдралын давуу тал	Гомеостаз	Иммиграци
Цөлжих процессын эсрэг үйл ажиллагааны нэг болох элсний хөдөлгөөнийг бэхжүүлэх аргуудыг тохирох үйл ажиллагаатай нь зөв харгалзуулсан хувилбарыг сонгоно уу.	1b, 2c, 3a	1b, 2a, 3c	1c, 2b, 3a	1a, 2c, 3b	1a, 2b, 3c
